SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,STREET_ID,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,ALTERNATE_NAME,CFCC,SPEEDLIMIT,ONEWAY,F_ZLEV,T_ZLEV,FT_COST,TF_COST,FT_DIR,TF_DIR,SHIELD,HWY_NUM,MUN_L,MUN_R,NBHD_L,NBHD_R,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,MCD00_L,MCD00_R,Shape_Length,shape_wkt,coordinates,segment_length_m,traffic_weight
12922,1724.0,1758.0,1721.0,1757.0,4354,,Washington,ST,,,A31,25,,0,0,0.10834912,0.10834912,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000776316120212,"MULTILINESTRING ((-71.076315756999975 42.336980307000033, -71.076939359999983 42.336517937000053))","[(-71.07631575699997, 42.33698030700003), (-71.07693935999998, 42.33651793700005)]",86.17108934349295,0.29577464788732394
20467,,,,,4354,,Washington,ST,,,A31,25,,0,0,0.01566253,0.01566253,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000111680282803,"MULTILINESTRING ((-71.076939359999983 42.336517937000053, -71.077027999999984 42.33645000000007))","[(-71.07693935999998, 42.33651793700005), (-71.07702799999998, 42.33645000000007)]",12.396511391113247,0.0
23005,,,657.0,707.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.25098907,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.001777884564484,"MULTILINESTRING ((-71.076543999999956 42.33604900000006, -71.07515682199994 42.334936970000058))","[(-71.07654399999996, 42.33604900000006), (-71.07515682199994, 42.33493697000006)]",197.3451866577584,0.20118343195266272
23185,,,708.0,650.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.27603584,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.001946701726098,"MULTILINESTRING ((-71.075079290999952 42.334995824000032, -71.076580226999965 42.336235517000034))","[(-71.07507929099995, 42.33499582400003), (-71.07658022699997, 42.336235517000034)]",216.08389159683125,0.2918918918918919
20507,,,,,1924,,Harrison,AVE,,,A31,25,,0,0,0.01363219,0.01363219,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,9.7338837429e-05,"MULTILINESTRING ((-71.075079290999952 42.334995824000032, -71.07515682199994 42.334936970000058))","[(-71.07507929099995, 42.33499582400003), (-71.07515682199994, 42.33493697000006)]",10.804610954652214,0.0
25394,848.0,850.0,831.0,845.0,1924,,Harrison,AVE,,,A31,25,,0,0,0.05467941,0.05467941,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000390832739564,"MULTILINESTRING ((-71.074767191999968 42.335231078000049, -71.075079290999952 42.334995824000032))","[(-71.07476719199997, 42.33523107800005), (-71.07507929099995, 42.33499582400003)]",43.38243409164782,0.3333333333333333
21670,,,709.0,781.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.30979767,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.002186963617305,"MULTILINESTRING ((-71.07515682199994 42.334936970000058, -71.073466034999967 42.33354986900008))","[(-71.07515682199994, 42.33493697000006), (-71.07346603499997, 42.33354986900008)]",242.75296152084482,0.24509803921568626
21835,,,783.0,799.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.09753045,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000676997088605,"MULTILINESTRING ((-71.073466034999967 42.33354986900008, -71.072967634999941 42.333091696000054))","[(-71.07346603499997, 42.33354986900008), (-71.07296763499994, 42.333091696000054)]",75.14667683516865,0.36923076923076925
19520,,,782.0,710.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.31085508,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.002195545667329,"MULTILINESTRING ((-71.07337972299996 42.333606351000071, -71.073915186999955 42.334044902000073, -71.074697999999955 42.33470200000005, -71.075079290999952 42.334995824000032))","[(-71.07337972299996, 42.33360635100007), (-71.07391518699995, 42.33404490200007), (-71.07469799999996, 42.33470200000005), (-71.07507929099995, 42.33499582400003)]",243.70556907355308,0.0
20452,,,832.0,784.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.09548095,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000674604352077,"MULTILINESTRING ((-71.072856999999942 42.333180000000027, -71.073086999999987 42.333362000000079, -71.07337972299996 42.333606351000071))","[(-71.07285699999994, 42.33318000000003), (-71.07308699999999, 42.33336200000008), (-71.07337972299996, 42.33360635100007)]",74.88108308051498,0.40625
17250,712.0,780.0,719.0,779.0,51,,Albany,ST,,,A31,25,,0,0,0.32983835,0.32983835,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.002382491121023,"MULTILINESTRING ((-71.071428627999978 42.334973404000038, -71.072426232999987 42.334266396000032, -71.072478023999963 42.33423022900007, -71.072966837999957 42.333883000000071, -71.07337972299996 42.333606351000071))","[(-71.07142862799998, 42.33497340400004), (-71.07242623299999, 42.33426639600003), (-71.07247802399996, 42.33423022900007), (-71.07296683799996, 42.33388300000007), (-71.07337972299996, 42.33360635100007)]",264.4565144335745,0.0
22032,,,,,51,,Albany,ST,,,A31,25,,0,0,0.01414439,0.01414439,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000103150267417,"MULTILINESTRING ((-71.07337972299996 42.333606351000071, -71.073466034999967 42.33354986900008))","[(-71.07337972299996, 42.33360635100007), (-71.07346603499997, 42.33354986900008)]",11.449679683334315,0.0
